orig order,Date,Sampling week,Time,Cross,Treatment,Rep,YII (meristem),YII (above/tipward of 10cm holepunch),Female GP ID,Male GP ID,Heat tested Female GP,Heat tested Male GP,Female GP % change,Female GP ranking,Male GP % change,Male GP ranking,,,,,,,,,,,,,,,,
174,6/13/23,Week 1,,128,A,3,0.649,,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
183,6/13/23,Week 1,,130,A,3,0.602,,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,#N/A,-68.808757,36,,,,,,,,,,,,,,,,,,
57,6/12/23,Week 1,,133,A,3,0.594,,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,SL18-OI-6-MG2,-21.175178,6,-93.83737,89,,,,,,,,,,,,,,,,
165,6/13/23,Week 1,,136,A,3,0.568,,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,SA18-CB-10-MG1,,,-85.12983,71,,,,,,,,,,,,,,,,
66,6/12/23,Week 1,,138,A,3,0.631,,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,SL18-OD-6-MG1,-68.808757,36,-90.257688,81,,,,,,,,,,,,,,,,
75,6/12/23,Week 1,,139,A,3,0.576,,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,SL18-JS-19-MG1,-17.43129,5,0.30367682,2,,,,,,,,,,,,,,,,
93,6/12/23,Week 1,,141,A,3,0.665,,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,SL18-LD-2-MG2,-69.65774,38,-81.133004,64,,,,,,,,,,,,,,,,
192,6/13/23,Week 1,,144,A,3,0.691,,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
3,6/12/23,Week 1,,157,A,3,0.667,,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,SA18-CB-4-MG2,-21.175178,6,-93.012556,88,,,,,,,,,,,,,,,,
147,6/13/23,Week 1,,158,A,3,0.66,,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
12,6/12/23,Week 1,,160,A,3,0.624,,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,SL18-LD-2-MG2,-55.10044,20,-81.133004,64,,,,,,,,,,,,,,,,
21,6/12/23,Week 1,,161,A,3,0.549,,SA18-CB-4-FG6,SL18-LD-2-MG2,SA18-CB-4-FG6,SL18-LD-2-MG2,-17.43129,5,-81.133004,64,,,,,,,,,,,,,,,,
48,6/12/23,Week 1,,174,A,3,0.543,,SL18-OI-6-FG2,SL18-LD-9-MG1,SL18-OI-6-FG2,SL18-LD-9-MG1,-21.175178,6,-88.023499,76,,,,,,,,,,,,,,,,
39,6/12/23,Week 1,,175,A,3,0.625,,SL18-CC-3-FG2,SL18-OI-11-MG3,SL18-CC-3-FG2,#N/A,-68.808757,36,,,,,,,,,,,,,,,,,,
138,6/13/23,Week 1,175 was measured twice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,6/13/23,Week 1,,176,A,3,0.684,,SL18-CC-5-FG3,SA18-CB-4-MG2,SL18-CC-5-FG3,SA18-CB-4-MG2,-27.632169,8,-93.012556,88,,,,,,,,,,,,,,,,
30,6/12/23,Week 1,,179,A,3,0.546,,SL18-OI-11-FG3,SL18-JS-19-MG1,SL18-OI-11-FG3,SL18-JS-19-MG1,-67.011547,35,0.30367682,2,,,,,,,,,,,,,,,,
112,6/13/23,Week 1,,40,B,1,0.629,,SL18-JS-19-MG1,SL18-JS-19-MG1,#N/A,SL18-JS-19-MG1,,,0.30367682,2,,,,,,,,,,,,,,,,
229,6/13/23,Week 1,,46,B,1,0.684,,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
85,6/12/23,Week 1,,47,B,1,0.725,,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,SL18-OD-6-MG1,-21.175178,6,-90.257688,81,,,,,,,,,,,,,,,,
238,6/13/23,Week 1,,49,B,1,0.688,,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,#N/A,-27.632169,8,,,,,,,,,,,,,,,,,,
256,6/13/23,Week 1,,51,B,1,0.618,,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,#N/A,-27.632169,8,,,,,,,,,,,,,,,,,,
130,6/13/23,Week 1,,59,B,1,0.705,,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,SL18-LL-9-MG4,-78.138399,59,-80.72347,63,,,,,,,,,,,,,,,,
265,6/13/23,Week 1,,61,B,1,0.664,,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,SL18-LD-9-MG1,,,-88.023499,76,,,,,,,,,,,,,,,,
247,6/13/23,Week 1,,70,B,1,0.589,,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,#N/A,-21.175178,6,,,,,,,,,,,,,,,,,,
202,6/13/23,Week 1,,81,B,1,0.682,,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,SL18-OI-6-MG2,,,-93.83737,89,,,,,,,,,,,,,,,,
220,6/13/23,Week 1,,84,B,1,0.665,,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,#N/A,-78.138399,59,,,,,,,,,,,,,,,,,,
103,6/12/23,Week 1,,85,B,1,0.612,,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,SL18-OI-6-MG2,-27.632169,8,-93.83737,89,,,,,,,,,,,,,,,,
211,6/13/23,Week 1,,116,B,1,0.652,,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,#N/A,(eliminated as dead),,,,,,,,,,,,,,,,,,,
157,6/13/23,Week 1,,120,B,1,0.675,,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,#N/A,-44.008511,15,,,,,,,,,,,,,,,,,,
175,6/13/23,Week 1,,128,B,1,0.618,,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
184,6/13/23,Week 1,,130,B,1,0.682,,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,#N/A,-68.808757,36,,,,,,,,,,,,,,,,,,
58,6/12/23,Week 1,,133,B,1,0.611,,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,SL18-OI-6-MG2,-21.175178,6,-93.83737,89,,,,,,,,,,,,,,,,
166,6/13/23,Week 1,,136,B,1,0.59,,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,SA18-CB-10-MG1,,,-85.12983,71,,,,,,,,,,,,,,,,
